frage_id,option_reihenfolge,option_wert,option_label,option_beschreibung,option_folge_logik
actorTypes,1,buergerenergie,Bürgerenergiegenossenschaft,,"Zeigt Textfeld: ""Name der Genossenschaft (optional)"""
actorTypes,2,weg,Wohnungseigentümergemeinschaft,,
actorTypes,3,vermieter_privat,Vermieter/in - Privatperson,,
actorTypes,4,vermieter_prof_klein,Vermieter/in - Professionell (<100 Einheiten),,
actorTypes,5,vermieter_wohnungsunternehmen,Vermieter/in - Wohnungsunternehmen (>100 Einheiten),,
actorTypes,6,kommune,Kommune / kommunales Unternehmen,,
actorTypes,7,kmu,Kleine und Mittelständische Unternehmen (KMU),,
actorTypes,8,dienstleister,Dienstleister für GGV/Mieterstrom/Energy Sharing,,
actorTypes,9,installateur,Installateur von PV-Anlagen,,
actorTypes,10,msb,Wettbewerblicher Messstellenbetreiber,,
actorTypes,11,stadtwerk,Stadtwerk/EVU,,
actorTypes,12,andere,Andere,,"Zeigt Textfeld: ""Bitte beschreiben"""
actorDienstleisterCategory,1,data_provision,Datenbereitstellung (ESA-Zugang zu gMSB-Werten),,
actorDienstleisterCategory,2,invoicing_prep,Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
actorDienstleisterCategory,3,full_settlement,Vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
actorDienstleisterCategory,4,metering_full,Messstellenbetrieb inkl. Datenbereitstellung,,
actorDienstleisterCategory,5,metering_invoicing_prep,Messstellenbetrieb inkl. Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
actorDienstleisterCategory,6,metering_full_settlement,Messstellenbetrieb und vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
actorDienstleisterCategory,7,beratung,Beratung für Immobilieneigentümer zur Umsetzung von GGV/Mieterstrom,,
actorDienstleisterCategory,8,software,"Software / IT-Plattform für Dienstleister, MSB und/oder VNB",,
actorDienstleisterCategory,9,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
motivation,1,pv_nutzung,Wir werden auf jeden Fall eine PV-Anlage bauen (oder haben diese schon gebaut) und möchten den Strom vor Ort nutzen,,
motivation,2,energiewende,"Wir möchten gerne Energiewende vor Ort umsetzen - sobald die Nutzung geklärt ist, kommt die PV-Anlage",,
motivation,3,geschaeft,Der Bau und Betrieb von PV-Anlagen ist ein wesentliches Anliegen von unserem Unternehmen/Verein,,
motivation,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
confirmationForUpdate,1,ja,"Ja, ich möchte eine Info erhalten",,
confirmationForUpdate,2,nein,"Nein, ich schaue selber online nach Updates",,
projectTypes,1,ggv,GGV (Gemeinschaftliche Gebäudeversorgung),,
projectTypes,2,mieterstrom,Mieterstrom,,
projectTypes,3,ggv_oder_mieterstrom,Entweder GGV oder Mieterstrom (nur für Projekte im Planungsstadium),,
projectTypes,4,energysharing,Energy Sharing (in Zukunft möglich),,
planningStatus,1,info_sammeln,"Wir haben grundsätzliches Interesse, sammeln derzeit Informationen",,
planningStatus,2,planung_stockt_ggv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Umsetzung GGV/Mieterstrom",,
planningStatus,3,planung_stockt_pv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Installation der PV-Anlage",,
planningStatus,4,planung_fast_fertig,Wir sind fast fertig mit der Planung,,
planningStatus,5,pv_laeuft_ggv_planung,"Die PV-Anlage läuft schon, aber die GGV/Mieterstrom ist noch in Planung",,
planningStatus,6,pv_laeuft_ggv_laeuft,Die PV-Anlage läuft bereits mit GGV/Mieterstrom,,
planningStatus,7,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromPlanningStatus,1,info_sammeln,"Wir haben grundsätzliches Interesse, sammeln derzeit Informationen",,
mieterstromPlanningStatus,2,planung_stockt_ggv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Umsetzung des Mieterstroms",,
mieterstromPlanningStatus,3,planung_stockt_pv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Installation der PV-Anlage",,
mieterstromPlanningStatus,4,planung_fast_fertig,Wir sind fast fertig mit der Planung,,
mieterstromPlanningStatus,5,pv_laeuft_ggv_planung,"Die PV-Anlage läuft schon, aber Mieterstrom ist noch in Planung",,
mieterstromPlanningStatus,6,pv_laeuft_ggv_laeuft,Die PV-Anlage läuft bereits mit Mieterstrom,,
mieterstromPlanningStatus,7,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
ggvProjectType,1,single,Ein einzelnes Projekt,,
ggvProjectType,2,multiple,Mehrere Projekte (im Fall von verschiedenen Verteilnetzbetreibern bitte einen zusätzlichen Verteilnetzbetreiber auswählen),,
ggvBuildingType,1,wohngebaeude,Wohngebäude,,
ggvBuildingType,2,gewerbe,Gewerbegebäude,,
ggvBuildingType,3,gemischt,Gemischt,,
mieterstromProjectType,1,single,Ein einzelnes Projekt,,
mieterstromProjectType,2,multiple,Mehrere Projekte (im Fall von verschiedenen Verteilnetzbetreibern bitte einen zusätzlichen Verteilnetzbetreiber auswählen),,
mieterstromBuildingType,1,wohngebaeude,Wohngebäude,,
mieterstromBuildingType,2,gewerbe,Gewerbegebäude,,
mieterstromBuildingType,3,gemischt,Gemischt,,
mieterstromFoerderung,1,ja,Ja,,
mieterstromFoerderung,2,nein,Nein,,
mieterstromFoerderung,3,weiss_nicht,Das wissen wir nicht,,
mieterstromFoerderungNeinGrund,1,beantragt_nicht_geklappt,"Wir würden gerne, aber das war/ist nicht so einfach",,"Zeigt Textfeld: ""Begründung"""
mieterstromFoerderungNeinGrund,2,bewusst_dagegen,Wir haben uns bewusst dagegen entschieden,,"Zeigt Textfeld: ""Begründung"""
ggvOrMieterstromDecision,1,sicher_ggv,Wir sind sicher: es wird/ist GGV,,
ggvOrMieterstromDecision,2,unsicher,Wir sind unsicher: es fehlen noch Informationen für eine finale Entscheidung,,
ggvOrMieterstromDecision,3,sicher_mieterstrom,Wir sind sicher: es wird/ist Mieterstrom,,
ggvDecisionReasons,1,buerokratie_mieterstrom,Wegen der bürokratischen Herausforderungen bei Mieterstrom,,
ggvDecisionReasons,2,reststrom_pflicht,Wegen der Pflicht zum Einkauf von Reststrom bei Mieterstrom,,
ggvDecisionReasons,3,ladesaeulen_waermepumpen,Weil die Einbindung von Ladesäulen/Wärmepumpen einfacher ist,,
ggvDecisionReasons,4,vnb_empfehlung,Weil unser Verteilnetzbetreiber das empfiehlt,,
ggvDecisionReasons,5,finanziell_attraktiver,Weil das finanziell attraktiver ist,,
ggvDecisionReasons,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromDecisionReasons,1,einfacher_umsetzung,Weil das in der Umsetzung einfacher zu sein scheint,,
mieterstromDecisionReasons,2,kein_dienstleister_ggv,Weil wir für die GGV nicht den richtigen Dienstleister finden,,
mieterstromDecisionReasons,3,vnb_empfehlung,Weil unser Verteilnetzbetreiber das empfiehlt,,
mieterstromDecisionReasons,4,vnb_kann_ggv_nicht,Weil der Verteilnetzbetreiber die GGV nicht umsetzen kann,,
mieterstromDecisionReasons,5,finanziell_attraktiver,Weil das finanziell attraktiver ist,,
mieterstromDecisionReasons,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
implementationApproach,1,alleine,Wir möchten möglichst viel alleine machen - inkl. der Abrechnung mit den Teilnehmenden,,
implementationApproach,2,dienstleister_ok,"Dienstleister sind OK, solange das preislich attraktiv ist",,
implementationApproach,3,dienstleister_alles,"Ideal wäre es, wenn sich ein Dienstleister um alles kümmert",,
challenges,1,keine,"Nein, alles läuft gut",,Exklusiv (deselektiert alle anderen)
challenges,2,opposition,Manche Parteien im Haus sind gegen das Projekt oder wollen nicht teilnehmen,,"Zeigt Textfeld: ""Details"""
challenges,3,pv_installation,Technische Probleme mit der Installation der PV-Anlage,,"Zeigt Textfeld: ""Was war das Problem?"""
challenges,4,vnb_blockiert,Der Verteilnetzbetreiber lässt die Umsetzung von GGV / Mieterstrom nicht zu,,"Zeigt Textfeld: ""Gründe des Verteilnetzbetreibers"""
challenges,5,kosten_zu_hoch,Die Kosten für die Umsetzung der GGV / Mieterstrom sind zu hoch,,"Zeigt Textfeld: ""Details zu den Kosten"""
challenges,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Andere Herausforderungen"""
vnbRejectionResponse,1,kein_grund,Wir haben keinen Grund zur Beschwerde,,Exklusiv (deselektiert alle anderen)
vnbRejectionResponse,2,unsicher_aufgaben,"Wir wissen gar nicht so richtig, was der Verteilnetzbetreiber (und gMSB) eigentlich machen müsste",,"Zeigt Textfeld: ""Details"""
vnbRejectionResponse,3,bnetza,Wir haben uns / unser Dienstleister hat sich bereits an die BNetzA gewendet,,"Zeigt Textfeld: ""Details"""
vnbRejectionResponse,4,rechtliche_schritte,Wir erwägen rechtliche Schritte gegen den Verteilnetzbetreiber einzuleiten,,
vnbRejectionResponse,5,keine_schritte,"Wir sind / unser Dienstleister ist bei dem Anschluss anderer Projekte auf den Verteilnetzbetreiber angewiesen, wir sehen daher von rechtlichen Schritten gegenüber dem Verteilnetzbetreiber oder einer Anfrage bei der BNetzA ab",,
vnbRejectionResponse,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbExistingProjects,1,wissen_nicht,Wissen wir nicht,,
vnbExistingProjects,2,nein,"Nein, es gibt sicher noch keine",,
vnbExistingProjects,3,ja_mindestens_eins,"Ja, es gibt mindestens eins",,
vnbExistingProjects,4,ja_viele,"Ja, es gibt schon eine ganze Reihe",,
vnbExistingProjects,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbContact,1,ja_direkt,"Ja, wir hatten direkten Kontakt mit dem Verteilnetzbetreiber",,
vnbContact,2,ja_installateur,"Ja, über den Installateur/Dienstleister",,
vnbContact,3,nein,"Nein, wir hatten noch kein Kontakt",,
vnbContact,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbResponse,1,moeglich_gmssb,"Die GGV ist umsetzbar – der Verteilnetzbetreiber/gMSB bietet auch an, den Messstellenbetrieb als gMSB zu übernehmen",,
vnbResponse,2,moeglich_wmsb,"Die GGV ist umsetzbar – dafür brauchen wir aber zwingend einen wettbewerblichen Messstellenbetreiber (wMSB), da der Verteilnetzbetreiber dies als gMSB nicht umsetzen kann",,
vnbResponse,3,nicht_moeglich,"Unser Verteilnetzbetreiber sagt, dass eine Umsetzung derzeit nicht möglich ist - auch nicht mit einem wMSB",,"Zeigt Textfeld: ""Gründe des Verteilnetzbetreibers"""
vnbResponse,4,keine_antwort,Unser Verteilnetzbetreiber hat auf unsere Anfrage bisher nicht geantwortet,,"Zeigt Textfeld: ""Details zur Anfrage"""
vnbResponse,5,weiss_nicht,Das wissen wir noch nicht,,
vnbMsbTimeline,1,ja_12_monate,"Ja, innerhalb der nächsten 12 Monate",,
vnbMsbTimeline,2,ja_spaeter,"Ja, in über 12 Monaten",,
vnbMsbTimeline,3,nicht_gefragt,"Nein, das haben wir nicht gefragt",,
vnbMsbTimeline,4,keine_aussage,"Nein, dazu gab es keine Aussage",,
vnbRejectionTimeline,1,ja_12_monate,"Ja, innerhalb der nächsten 12 Monate",,
vnbRejectionTimeline,2,ja_spaeter,"Ja, in über 12 Monaten",,
vnbRejectionTimeline,3,nicht_gefragt,"Nein, das haben wir nicht gefragt",,
vnbRejectionTimeline,4,keine_aussage,"Nein, dazu gab es keine Aussage",,
vnbStartTimeline,1,sofort,"Sofort, wir sind in der Planung und das sieht gut aus",,
vnbStartTimeline,2,zeitnah,"Zeitnah, wir warten auf den Start",,
vnbStartTimeline,3,12_monate,In den nächsten 12 Monaten,,
vnbStartTimeline,4,spaeter,In mehr als 12 Monaten,,
vnbStartTimeline,5,weiss_nicht,Das wissen wir nicht,,
vnbStartTimeline,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbAdditionalCosts,1,wissen_nicht,Wissen wir nicht,,
vnbAdditionalCosts,2,nein,"Nein, unser Verteilnetzbetreiber/gMSB verlangt hier keine Zusatzkosten",,"Zeigt Textfeld: ""Details"""
vnbAdditionalCosts,3,ja,"Ja, unser Verteilnetzbetreiber/gMSB verlangt dafür Zusatzkosten",,
vnbFullService,1,nur_full_service,Unser Stadtwerk/Verteilnetzbetreiber bietet den Messstellenbetrieb in der GGV nur in Kombination mit einem Full-Service-Angebot an - also inkl. der Stromlieferung durch das Stadtwerk,,
vnbFullService,2,auch_ohne,"Unser Stadtwerk/Verteilnetzbetreiber bietet die Zusammenarbeit an der GGV auch an, ohne selber den Strom zu verkaufen",,
vnbFullService,3,weiss_nicht,Das wissen wir nicht,,
vnbDataProvision,1,mail_excel,Der Verteilnetzbetreiber/gMSB stellt uns die Daten per Mail als Excel zur Verfügung,,
vnbDataProvision,2,portal_verrechnete_werte,"Der Verteilnetzbetreiber/gMSB stellt uns die Daten über ein Online-Portal zur Verfügung, in dem wir die verrechneten Werte runterladen können",,
vnbDataProvision,3,dienstleister_marktkommunikation,"Für das Abrufen der Daten brauchen wir einen eigenen Dienstleister, der die Daten über die Marktkommunikation vom Verteilnetzbetreiber/gMSB abruft (Energie-Service-Anbieter / ESA-Dienstleister)",,
vnbDataProvision,4,wissen_nicht,Wissen wir nicht,,
vnbDataProvision,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbDataCost,1,kostenlos,Kostenlos,,
vnbDataCost,2,weniger_3_eur,Weniger als 3 EUR/Messstelle/Jahr,,
vnbDataCost,3,mehr_3_eur,Mehr als 3 EUR/Messstelle/Jahr,,
vnbDataCost,4,keine_auskunft,Dazu gibt es noch keine Auskunft,,
vnbDataCost,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbEsaCost,1,wissen_nicht,Wissen wir nicht,,
vnbEsaCost,2,kostenlos,"Nein, das ist kostenlos.",,
vnbEsaCost,3,weniger_3_eur,Dafür verlangt er weniger (oder gleich) 3 EUR/Messstelle/Jahr,,
vnbEsaCost,4,mehr_3_eur,Dafür verlangt er mehr als 3 EUR/Messstelle/Jahr,,
vnbWandlermessung,1,ja,Ja,,
vnbWandlermessung,2,nein,Nein,,
vnbWandlermessung,3,wissen_nicht,Das wissen wir nicht,,
vnbPlanningDuration,1,unter_2_monate,Unter 2 Monaten,,
vnbPlanningDuration,2,2_bis_12_monate,Zwischen 2 und 12 Monaten,,
vnbPlanningDuration,3,ueber_12_monate,Über 12 Monate,,
vnbSupportMesskonzept,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportMesskonzept,2,nein,Nein,,
vnbSupportMesskonzept,3,weiss_nicht,Das wissen wir nicht,,
vnbSupportFormulare,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportFormulare,2,nein,Nein,,
vnbSupportFormulare,3,weiss_nicht,Das wissen wir nicht,,
vnbSupportPortal,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportPortal,2,nein,Nein,,
vnbSupportPortal,3,weiss_nicht,Das wissen wir nicht,,
vnbContactHelpful,1,ja_hilfreich,"Ja, es gibt eine Kontaktmöglichkeit (Mailadresse/Telefonnummer) und da wurde uns geholfen",,
vnbContactHelpful,2,ja_nicht_hilfreich,"Ja, es gibt eine Kontaktmöglichkeit. Die Informationen waren aber wenig hilfreich",,
vnbContactHelpful,3,nein,"Nein, es gibt keine Kontaktmöglichkeit",,
vnbContactHelpful,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbPersonalContacts,1,ja_bestanden,"Ja, es bestanden schon persönliche Kontakte zum Verteilnetzbetreiber",,
vnbPersonalContacts,2,ja_entstanden,"Ja, persönliche Kontakte sind bei der Umsetzung der GGV entstanden",,
vnbPersonalContacts,3,nein,"Nein, es bestehen keine persönlichen Kontakte",,
vnbPersonalContacts,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
